,track_id,name,n_genres,genre
2501,6vsBCrM20zIKYkjWQ2qJAo,In A Spiral - Phantogram,3,modern rock
2502,6vsBCrM20zIKYkjWQ2qJAo,In A Spiral - Phantogram,3,indietronica
2503,6vsBCrM20zIKYkjWQ2qJAo,In A Spiral - Phantogram,3,metropopolis
2504,1n7zYKZFSwr62wrIgLcF3G,Kerberos - Live in Paris - MEUTE,3,german dance
2505,1n7zYKZFSwr62wrIgLcF3G,Kerberos - Live in Paris - MEUTE,3,hamburg electronic
2506,1n7zYKZFSwr62wrIgLcF3G,Kerberos - Live in Paris - MEUTE,3,livetronica
2507,7uxQ9jdgsJRBTbv1yB1fwE,Pure - Sidewalks and Skeletons,2,wave
2508,7uxQ9jdgsJRBTbv1yB1fwE,Pure - Sidewalks and Skeletons,2,witch house
2509,1Y9rILheb8qOB4odmXu52j,Каждый день - Mujuice,4,russian rock
2510,1Y9rILheb8qOB4odmXu52j,Каждый день - Mujuice,4,russian electronic
2511,1Y9rILheb8qOB4odmXu52j,Каждый день - Mujuice,4,russian synthpop
2512,1Y9rILheb8qOB4odmXu52j,Каждый день - Mujuice,4,russian hip hop
